,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
ND,100,5,4,4,4,3,7,6,6,6,5,100,2,2,3,4,3,4,5,7,6,9,3,1,3,5,1,5,0,2,8,6,4,3,6,4,4,3,5,8,6,1,4,5,3,5,7,3,2,5,2
NE,100,3,2,3,4,1,7,4,5,4,3,100,1,2,2,3,1,3,3,7,4,9,3,2,1,3,2,3,2,0,8,6,2,3,6,4,2,3,5,8,4,1,2,3,2,3,7,3,2,4,1
NH,100,7,7,10,11,9,2,5,4,8,7,100,7,9,6,5,8,5,8,1,4,1,5,7,7,7,8,6,8,8,0,3,9,10,2,4,8,10,3,2,7,8,6,8,10,5,1,10,6,4,9
NJ,100,5,5,8,9,7,2,3,2,6,5,100,5,7,4,3,6,3,6,2,2,4,3,5,5,5,6,4,6,6,3,0,7,8,1,2,6,8,1,3,5,6,4,6,8,3,2,8,4,2,7
NM,100,4,2,1,2,1,8,5,6,5,4,100,3,3,3,4,2,4,2,8,5,10,5,4,2,3,3,4,4,2,9,7,0,2,7,5,1,3,6,9,5,3,3,1,2,4,8,4,4,5,2
NV,100,6,4,1,1,2,10,7,8,7,6,100,4,1,5,6,3,6,4,10,7,12,6,4,4,5,2,6,3,3,11,9,2,0,9,7,3,1,8,11,7,3,5,3,1,6,10,2,5,7,2
NY,100,5,5,8,9,7,1,3,2,6,5,100,5,7,4,3,6,3,6,1,2,3,3,5,5,5,6,4,6,6,2,1,7,8,0,2,6,8,1,2,5,6,4,6,8,3,1,8,4,2,7
OH,100,3,3,6,7,5,3,3,2,4,3,100,3,5,2,1,4,1,4,3,2,5,1,3,3,3,4,3,4,4,4,2,5,6,2,0,4,6,1,4,4,4,2,4,6,2,3,6,2,1,5
OK,100,3,1,2,3,1,7,4,5,4,3,100,2,3,2,3,1,3,2,7,4,9,4,3,1,2,3,3,4,2,8,6,1,3,6,4,0,4,5,8,4,3,2,1,2,3,7,4,3,4,2
OR,100,6,5,2,1,3,10,7,8,7,6,100,4,1,5,6,4,6,5,10,7,12,6,4,4,6,2,6,3,3,11,9,3,1,9,7,4,0,8,11,7,3,5,4,2,6,10,1,5,7,2
PA,100,4,4,7,8,6,2,2,1,5,4,100,4,6,3,2,5,2,5,2,1,4,2,4,4,4,5,3,5,5,3,1,6,7,1,1,5,7,0,3,4,5,3,5,7,2,2,7,3,1,6
RI,100,7,7,10,11,9,1,5,4,8,7,100,7,9,6,5,8,5,8,1,4,3,5,7,7,7,8,6,8,8,2,3,9,10,2,4,8,10,3,0,7,8,6,8,10,5,2,10,6,4,9
SC,100,2,3,6,7,5,6,3,4,2,1,100,4,6,4,4,4,3,4,6,3,8,5,5,3,3,5,1,6,4,7,5,5,7,5,4,4,7,4,7,0,5,2,4,6,2,6,7,5,3,5
SD,100,4,3,3,4,2,7,5,6,5,4,100,1,2,2,3,2,3,4,7,5,9,3,1,2,4,2,4,1,1,8,6,3,3,6,4,3,3,5,8,5,0,3,4,2,4,7,3,2,4,1
TN,100,1,1,4,5,3,5,2,3,2,1,100,2,4,2,2,2,1,2,5,2,7,3,3,1,1,3,1,4,2,6,4,3,5,4,2,2,5,3,6,2,3,0,2,4,1,5,5,3,2,3
TX,100,3,1,2,3,2,7,4,5,4,3,100,3,4,3,4,2,3,1,7,4,9,5,4,2,2,4,3,5,3,8,6,1,3,6,4,1,4,5,8,4,4,2,0,3,3,7,5,4,4,3
UT,100,5,3,1,2,1,9,6,7,6,5,100,3,1,4,5,2,5,4,9,6,11,5,3,3,4,2,5,3,2,10,8,2,1,8,6,2,2,7,10,6,2,4,3,0,5,9,2,4,6,1
VA,100,2,2,5,6,4,4,1,2,3,2,100,3,5,2,2,3,1,3,4,1,6,3,4,2,2,4,1,5,3,5,3,4,6,3,2,3,6,2,5,2,4,1,3,5,0,4,6,3,1,4
VT,100,6,6,9,10,8,2,4,3,7,6,100,6,8,5,4,7,4,7,1,3,2,4,6,6,6,7,5,7,7,1,2,8,9,1,3,7,9,2,2,6,7,5,7,9,4,0,9,5,3,8
WA,100,6,5,3,2,3,10,7,8,7,6,100,4,1,5,6,4,6,6,10,7,12,6,4,4,6,2,6,3,3,11,9,4,2,9,7,4,1,8,11,7,3,5,5,2,6,10,0,5,7,2
WI,100,4,3,5,5,3,5,4,4,5,4,100,1,3,1,2,3,2,4,5,4,7,1,1,2,4,2,4,2,2,6,4,4,4,4,2,3,4,3,6,5,2,3,4,4,3,5,4,0,3,3
WV,100,3,3,6,7,5,3,2,2,4,3,100,3,5,2,2,4,1,4,3,1,5,2,4,3,3,4,2,5,4,4,2,5,6,2,1,4,6,1,4,3,4,2,4,6,1,3,6,3,0,5
WY,100,4,3,2,3,1,8,5,6,5,4,100,2,1,3,4,2,4,4,8,5,10,4,2,2,4,1,4,2,1,9,7,2,2,7,5,2,2,6,9,5,1,3,3,1,4,8,2,3,5,0
